Co_ID|Exchange|Name| root_ ticker | QMV | OS_Shares | tech_sub_sector | cps | re |Sector| Sub_Sector |type_of_listing|date_of_listing|hq_location|hq_region|interlisted_code_1|interlisted_code_2|tsx_ven_grad|former_cpc|Index|technology_sub_sector|usa_city|USA_State|asia_region|place_inCopporated|fundfamily|sp_grouping|SP_Sub|income_trust_conversion| volume_ytd | value_ ytd | num_traded_share_ytd | num_of_month_trading_data |AFRICA|AUS_NZ_PNG|CANADA|CHINA_ ASIA|LATIN_AMERICA|OTHER|UK_EUROPE|USA|Oil_Gas|Gold|Silver|Copper|Nickel|Diamond|Molybdenum|Platinum_PGM|Iron|Lead|Zinc|Rare Earths|Potash|Lithium|Uranium|Coal|Tungsten|base_ precious_metals|mineral_properties|other_properties
AUR0011|TSX|Aura Minerals Inc.|ORA| 93,684,246 | 43,372,336 |||| Mining ||Other|20060725|BC|Canada||||||||||F||||| 1,118,947 | 2,574,590 | 1,221 |6|||||Brazil,Honduras|||||1||1|||||1|||||||||1||
AUR0018|TSX|Auryn Resources Inc.|AUG| 121,933,186 | 85,868,441 |||| Mining ||TSXV Grad|20161101|BC|Canada|TSX-NYSE MKT||1|1||||||C||||| 11,073,952 | 19,646,154 | 22,167 |6|||NU|||||||1||||||||||||||||||
AVA0002|TSX|Avalon Advanced Materials Inc.|AVL| 21,056,241 | 221,644,639 |||| Mining ||TSXV Grad|20080228|ON|Canada|TSX-OTCQX||1|||||||C||||| 25,112,708 | 3,236,873 | 7,637 |6|||NWT,ON|||||||||||||||||1||1||||||
AUR0015|TSX|Avesoro Resources Inc.|ASO| 367,904,423 | 81,575,260 |||| Mining ||Other|20110413|UK|UK/Europe|TSX-AIM|||||||||C||||| 28,599,936 | 2,647,692 | 2,292 |6|Cameroon,Liberia|||||||||1||||||||||||||||||
AVI0002|TSX|Avino Silver & Gold Mines Ltd.|ASM| 91,521,271 | 55,805,653 |||| Mining ||TSXV Grad|20180108|BC|Canada|TSX-NYSE MKT||1|||||||C||||| 2,448,924 | 3,943,975 | 6,018 |6|||Canada||Mexico|||||1|1|1|||||||1|||||||||
POW0009|TSX|Azarga Uranium Corp.|AZZ| 21,283,619 | 85,134,476 |||| Mining ||TSXV Grad|20071101|USA|USA|||1||||Centennial|CO||C||||| 4,648,275 | 1,131,146 | 816 |6||||||Kyrgyzstan|Turkey|CO,SD,WY|||||||||||||||1|||||
BTW0001|TSX|B2Gold Corp.|BTO| 3,361,078,875 | 985,653,629 |||| Mining ||TSXV Grad|20081023|BC|Canada|TSX-NYSE MKT||1||1|||||C||||| 315,393,254 | 1,158,252,709 | 289,828 |6|||||Colombia,Nicaragua,Uruguay|||||1||||||||||||||||||
BAL0008|TSX|Balmoral Resources Ltd.|BAR| 27,702,155 | 138,510,776 |||| Mining ||TSXV Grad|20130816|BC|Canada|TSX-OTCQX||1|||||||C||||| 35,709,925 | 11,645,533 | 8,085 |6|||ON, Quebec|||||||1||||||||||||||||||
BAR0007|TSX|Barrick Gold Corporation|ABX| 20,152,411,960 | 1,166,902,835 |||| Mining |||19830502|ON|Canada|TSX-NYSE||||60|||||C||||| 322,239,844 | 5,424,322,383 | 768,392 |6|Zambia|Papua New Guinea|ON||Argentina,Chile,Peru|Saudi Arabia||AK,MT,NV||1|1|1||||||||||||||||
BEL0018|TSX|Belo Sun Mining Corp.|BSX| 107,085,680 | 465,589,915 |||| Mining ||TSXV Grad|20120216|ON|Canada|||1|||||||C||||| 68,277,768 | 18,843,385 | 7,628 |6|||||Brazil|||||1||||||||||||||||||
BLA0018|TSX|Black Iron Inc.|BKI| 15,175,349 | 159,740,519 |||| Mining ||IPO|20110328|ON|Canada||||||||||C||||| 14,266,219 | 1,426,759 | 1,121 |6|||||||Ukraine||||||||||1|||||||||||
CAL0006|TSX|Caledonia Mining Corporation Plc|CAL| 118,755,314 | 10,603,153 |||| Mining |||19870623|ON|Canada|TSX-NYSE MKT|TSX-AIM||||||||F||||| 644,648 | 6,735,600 | 2,208 |6|South Africa,Zambia,Zimbabwe|||||||||1||1|1|||1||||||||||||Cobalt
CAM0009|TSX|Cameco Corporation|CCO| 5,853,774,506 | 395,792,732 |||| Mining |||19910704|SK|Canada|TSX-NYSE||||60|||||C||||| 160,458,679 | 2,089,680,150 | 571,704 |6||Australia|SK|||Kazakhstan||NE,WY|||||||||||||||1|||||
CAN0103|TSX|Canadian Zinc Corporation|CZN| 38,586,174 | 266,111,543 |||| Mining |||19931207|BC|Canada|TSX-OTCQB|||||||||C||||| 21,072,078 | 3,021,319 | 4,158 |6|||NWT||||||||1|||||||1|1|||||||||
CAN0049|TSX|Canarc Resource Corp.|CCM| 12,028,123 | 218,693,144 |||| Mining |||19941103|BC|Canada|TSX-OTCQB|||||||||C||||| 9,671,677 | 689,376 | 634 |6|||BC,YT|||||||1||||||||||||||||||
CAN0110|TSX|Candente Copper Corp.|DNT| 14,313,986 | 178,924,819 |||| Mining ||TSXV Grad|20041118|BC|Canada|TSX-Lima (BVL)||1|||||||C||||| 9,627,342 | 968,026 | 1,159 |6|||||Peru|||||||1||||||||||||||||
CAP0012|TSX|Capstone Mining Corp.|CS| 402,892,518 | 398,903,483 |||| Mining ||TSXV Grad|20040728|BC|Canada|||1|||||||C||||| 60,883,332 | 78,564,817 | 51,069 |6|||BC,YT||Chile,Mexico|||AZ||1|1|1|||||1|1|1|||||||||
CAR0032|TSX|Cardinal Resources Limited|CDV| 170,830,453 | 371,370,549 |||| Mining ||Other|20170710|Australia|Australia/NZ/PNG|TSX-ASX|||||||||F||||| 14,347,772 | 7,229,686 | 703 |6|Ghana|||||||||1||||||||||||||||||
CEN0017|TSX|Centamin plc|CEE| 2,367,182,117 | 1,154,722,984 |||| Mining ||Other|20070404|UK|UK/Europe|TSX-LSE|||||||||F||||| 1,233,115 | 3,197,574 | 1,319 |6|Burkina Faso,C“te d?Ivoire,Egypt|||||||||1||||||||||||||||||
CEN0015|TSX|Centerra Gold Inc.|CG| 2,133,223,747 | 291,822,674 |||| Mining ||IPO|20040629|ON|Canada|||||1|||||C||||| 84,280,955 | 590,121,738 | 305,145 |6|||BC,ON|Mongolia||Kyrgyzstan||ID||1|1|1|||1||||1|||||||||
CEN0021|TSX|Century Global Commodities Corporation|CNT| 15,759,131 | 98,494,571 |||| Mining ||TSXV Grad|20110919|Hong Kong|Asia|||1|1|||||Hong Kong|F||||| 227,118 | 49,236 | 78 |6|||NL,Quebec||||||||||||||1|||||||||||
CHA0027|TSX|Chalice Gold Mines Limited|CXN| 35,250,237 | 261,112,870 |||| Mining ||Other|20101126|Australia|Australia/NZ/PNG|TSX-ASX|||||||||F||||| 10,055,561 | 1,628,998 | 776 |6||Australia|Quebec|||||||1|||1|||||||||||||||
CHA0029|TSX|Champion Iron Limited|CIA| 539,874,380 | 412,117,847 |||| Mining ||Other|20140331|Australia|Australia/NZ/PNG|TSX-ASX|||||||||F||||| 78,368,544 | 94,877,154 | 19,678 |6|||NL, Quebec||||||||||||||1|||||||||||
JIN0001|TSX|China Gold International Resources Corp. Ltd.|CGG| 903,823,357 | 396,413,753 |||| Mining ||TSXV Grad|20061006|China|Asia|TSX-HKEx||1||||||Inner Mongolia|C||||| 25,944,211 | 67,256,141 | 80,044 |6||||Mongolia,Tibet||||||1||1||||||||||||||||
CLE0012|TSX|Clean TeQ Holdings Limited|CLQ| 478,299,076 | 590,492,687 |||| Mining ||Other|20171215|Australia|Australia/NZ/PNG|TSX-ASX|TSX-OTCQX||||||||F||||| 8,820,339 | 10,774,822 | 3,476 |6||Australia|||||||||||1|||||||||||||||Cobalt, Scandium
COL0017|TSX|Columbus Gold Corp.|CGT| 38,898,437 | 158,769,132 |||| Mining ||TSXV Grad|20160126|BC|Canada|TSX-OTCQX||1|||||||C||||| 10,470,214 | 4,538,080 | 4,602 |6|||||French Guiana|||NV||1||||||||||||||||||
CON0093|TSX|Condor Gold plc|COG| 36,948,634 | 67,179,335 |||| Mining ||Other|20180115|UK|UK/Europe|TSX-AIM|TSX-OTCQX||||||||C||||| 505,921 | 516,809 | 499 |6|||||Nicaragua|||||1||||||||||||||||||
CON0089|TSX|Continental Gold Inc.|CNL| 713,682,852 | 188,306,821 |||| Mining ||TSXV Grad|20100419|ON|Canada|TSX-OTCQX||1|||||||F||||| 32,080,868 | 116,840,244 | 100,453 |6|||||Colombia||Germany|||1||||||||||||||||||
COP0011|TSX|Copper Mountain Mining Corporation|CMMC| 230,549,990 | 185,927,411 |||| Mining ||TSXV Grad|20080919|BC|Canada|||1|||||||C||||| 60,812,144 | 77,929,741 | 46,663 |6|||BC|||||||||1||||||||||||||||
COR0032|TSX|Coro Mining Corp.|COP| 68,452,599 | 651,929,511 |||| Mining ||IPO|20070709|BC|Canada||||||||||C||||| 27,366,562 | 3,036,773 | 1,810 |6|||||Argentina,Chile|||||1||1||||||||||||||||
COR0033|TSX|Corvus Gold Inc.|KOR| 273,443,738 | 105,985,945 |||| Mining ||Other|20100830|BC|Canada|TSX-OTCQX|||||||||C||||| 12,736,774 | 26,811,125 | 7,967 |6|||Quebec|||||AK,NV||1||||||||||||||||||
DAL0005|TSX|Dalradian Resources Inc.|DNA| 511,910,565 | 355,493,448 |||| Mining ||IPO|20100810|ON|Canada|TSX-AIM|||||||||C||||| 47,615,554 | 59,667,288 | 25,364 |6|||||||Ireland|||1||||||||||||||||||
DEN0006|TSX|Denison Mines Corp.|DML| 357,877,254 | 559,183,209 |||| Mining ||Other|20040312|ON|Canada|TSX-NYSE MKT|||||||||C||||| 68,631,431 | 44,033,770 | 26,325 |6|Zambia||SK|Mongolia||||CO,UT|||||||||||||||1|||||
DET0003|TSX|Detour Gold Corporation|DGC| 2,069,124,013 | 175,052,793 |||| Mining ||IPO|20070130|ON|Canada|||||1|||||C||||| 131,232,944 | 1,578,901,753 | 523,370 |6|||ON|||||||1||||||||||||||||||
DUN0006|TSX|Dundee Precious Metals Inc.|DPM| 560,466,657 | 178,492,566 |||| Mining |||19831101|ON|Canada||||||||||C||||| 22,040,945 | 69,895,648 | 77,617 |6|Namibia||||||Bulgaria,Serbia|||1|1|1|||||||1|||||||||
DYN0019|TSX|Dynacor Gold Mines Inc.|DNG| 66,748,826 | 39,731,444 |||| Mining ||Other|20071024|Quebec|Canada||||||||||C||||| 4,747,700 | 9,013,373 | 7,869 |6|||||Peru|||||1|1|1||||||||||||||||
ELG0001|TSX|Eastern Platinum Limited|ELR| 28,718,100 | 92,639,032 |||| Mining ||TSXV Grad|20050110|BC|Canada|TSX-JSE||1|1||||||C||||| 2,092,779 | 781,557 | 799 |6|South Africa|||||||||||||||1||||||||||||
EAS0005|TSX|Eastmain Resources Inc.|ER| 38,852,154 | 199,241,813 |||| Mining |||19961101|ON|Canada||||||||||C||||| 31,810,272 | 7,971,914 | 6,336 |6|||ON,Quebec|||||||1|1|||1|||||1|||||||1||
FOR0007|TSX|eCobalt Solutions Inc.|ECS| 167,215,955 | 157,750,901 |||| Mining |||19950908|BC|Canada|TSX-OTCQX|||||||||C||||| 90,952,832 | 123,958,933 | 84,166 |6||||||||ID||||||||||||||||||||Cobalt
ELD0001|TSX|Eldorado Gold Corporation|ELD| 1,056,034,204 | 794,010,680 |||| Mining |||19931022|BC|Canada|TSX-NYSE||||60|||||C||||| 286,022,642 | 401,132,904 | 215,524 |6|||||Brazil||Greece,Romania,Turkey|||1|1||||||1|1|1|||||||||
END0004|TSX|Endeavour Mining Corporation|EDV| 2,541,292,244 | 107,727,522 |||| Mining ||TSXV Grad|20031120|Cayman Islands|Other|TSX-OTCQX||1||1|||||F||||| 33,639,913 | 782,637,403 | 200,845 |6|Burkina Faso,C“te d'Ivoire,Ghana,Mali|||||||||1||||||||||||||||||
END0005|TSX|Endeavour Silver Corp.|EDR| 526,527,133 | 127,488,410 |||| Mining ||TSXV Grad|20060207|BC|Canada|TSX-NYSE||1|||||||C||||| 37,156,665 | 126,310,181 | 99,864 |6|||||Mexico||||||1|||||||||||||||||
ENE0020|TSX|Energy Fuels Inc.|EFR| 254,322,046 | 78,325,116 |||| Mining ||TSXV Grad|20070319|USA|USA|TSX-NYSE MKT||1||||Lakewood|CO||C||||| 16,823,381 | 46,029,985 | 48,557 |6||||||||CO,UT,WY|||||||||||||||1|||||Vanadium
ENT0005|TSX|Entree Resources Ltd.|ETG| 99,341,732 | 174,283,740 |||| Mining ||TSXV Grad|20060424|BC|Canada|TSX-NYSE MKT||1|||||||C||||| 7,966,090 | 4,688,128 | 3,694 |6||Australia||Mongolia|Peru|||||1||1||||||||||||||||
ERD0001|TSX|Erdene Resource Development Corporation|ERD| 62,075,539 | 161,235,166 |||| Mining ||TSXV Grad|20051214|NS|Canada|||1|||||||C||||| 26,550,077 | 11,158,523 | 6,046 |6|||NS|China,Mongolia||||||1|1|1|||1|||||||||1||1||
ERO0001|TSX|Ero Copper Corp.|ERO| 827,665,370 | 84,455,650 |||| Mining ||IPO|20171019|BC|Canada||||||||||C||||| 9,452,640 | 81,657,071 | 10,522 |6|||||Brazil|||||1|1|1||||||||||||||||
EUR0016|TSX|Euro Sun Mining Inc.|ESM| 53,545,179 | 57,575,461 |||| Mining ||Other|20160912|ON|Canada||||||||||C||||| 8,260,566 | 11,439,184 | 7,396 |6|||||||Romania|||1||1||||||||||||||||
EUR0015|TSX|Euromax Resources Ltd.|EOX| 33,019,533 | 165,097,663 |||| Mining ||TSXV Grad|20160711|UK|UK/Europe|TSX-OTCQB||1|||||||C||||| 690,969 | 158,890 | 172 |6|||||||Macedonia|||1||1||||||||||||||||
EXC0010|TSX|Excellon Resources Inc.|EXN| 136,656,659 | 98,314,143 |||| Mining ||TSXV Grad|20080204|ON|Canada|||1|||||||C||||| 16,510,308 | 26,056,118 | 17,404 |6|||||Mexico||||||1|||||||1|1|||||||||
EXC0014|TSX|Excelsior Mining Corp.|MIN| 247,618,982 | 206,349,152 |||| Mining ||TSXV Grad|20170202|BC|Canada|||1|1||||||C||||| 17,796,959 | 23,122,982 | 16,564 |6||||||||AZ||||1||||||||||||||||
FIR0059|TSX|First Majestic Silver Corp.|FR| 1,936,780,783 | 193,098,782 |||| Mining ||TSXV Grad|20080115|BC|Canada|TSX-NYSE||1||1|||||C||||| 92,869,658 | 771,930,483 | 313,724 |6|||||Mexico||||||1|||||||||||||||||
FIR0127|TSX|First Mining Gold Corp.|FF| 250,862,227 | 557,471,616 |||| Mining ||TSXV Grad|20170622|BC|Canada|TSX-OTCQX||1|1||||||C||||| 70,202,168 | 34,155,596 | 37,398 |6|||NL, ON, Quebec||Mexico|||NV||1|1|1|||||1|||||||||||
FIR0023|TSX|First Quantum Minerals Ltd.|FM| 13,353,374,550 | 689,384,334 |||| Mining ||TSXV Grad|20000111|BC|Canada|||1||60|||||C||||| 357,823,170 | 6,942,969,195 | 1,287,284 |6|Mauritania,Zambia|Australia|||Panama,Peru||Finland,Spain,Turkey|||1||1|1||||||1|||||||||Cobalt
FIS0001|TSX|Fission Uranium Corp.|FCU| 325,386,195 | 485,651,038 |||| Mining ||TSXV Grad|20141008|BC|Canada|TSX-OTCQX||1|||||||C||||| 56,974,151 | 40,693,606 | 21,698 |6|||SK||||||||||||||||||||1|||||
FOR0019|TSX|Forsys Metals Corp.|FSY| 27,470,622 | 152,614,566 |||| Mining ||TSXV Grad|20061017|ON|Canada|||1|||||||C||||| 9,144,315 | 1,112,495 | 1,449 |6|Namibia||||||||||||||||||||||1|||||
FOR0023|TSX|Fortuna Silver Mines Inc.|FVI| 1,194,084,633 | 159,636,983 |||| Mining ||TSXV Grad|20100118|Peru|Latin America|TSX-NYSE||1||1|||||C||||| 47,627,748 | 317,918,687 | 179,701 |6|||||Argentina, Mexico,Peru|||||1|1|||||||1|1|||||||||
FOR0013|TSX|Fortune Minerals Limited|FT| 43,992,419 | 338,403,220 |||| Mining |||19971031|ON|Canada|TSX-OTCQX|||||||||C||||| 91,136,482 | 24,028,661 | 15,603 |6|||BC,NWT|||||||1|1|1||||||||||||1||||Cobalt,Bismuth
FRA0009|TSX|Franco-Nevada Corporation|FNV| 17,850,920,361 | 186,043,985 |||| Mining ||IPO|20071219|ON|Canada|TSX-NYSE||||60|||||C||||| 57,560,019 | 5,290,048,171 | 401,707 |6||Australia|||Mexico, Peru|||NV||1||||||1|||||||||||1|Royalty Streaming
INT0028|TSX|Freegold Ventures Limited|FVL| 12,181,323 | 174,018,906 |||| Mining |||19980519|BC|Canada||||||||||C||||| 5,144,936 | 459,465 | 579 |6||||||||AK||1||||||||||||||||||
GEN0030|TSX|General Moly Inc.|GMO| 58,918,975 | 111,167,877 |||| Mining ||Other|20080214|USA|USA|TSX-NYSE MKT||||||Lakewood|CO||U||||| 109,786 | 55,178 | 170 |6||||||||NV|||||||1|||||||||||||
GLO0015|TSX|Globex Mining Enterprises Inc.|GMX| 19,398,459 | 51,048,577 |||| Mining |||19951227|Quebec|Canada|TSX-OTCQX|||||||||C||||| 4,053,644 | 1,763,260 | 1,632 |6|||NB,ON,Quebec|||||||1|1|1|1||1|1|1|1|1|1||1|1|||||Palladium,Manganese,Talc,Magnesium Oxide,Mica
GOG0001|TSX|GoGold Resources Inc.|GGD| 72,345,622 | 172,251,481 |||| Mining ||TSXV Grad|20130122|NS|Canada|||1|1||||||C||||| 22,110,284 | 8,730,781 | 7,218 |6|||||Mexico|||||1|1|||||||||||||||||
GOL0069|TSX|Gold Standard Ventures Corp.|GSV| 460,201,146 | 254,254,777 |||| Mining ||TSXV Grad|20171011|BC|Canada|TSX-NYSE MKT||1|||||||C||||| 25,906,916 | 51,263,243 | 40,611 |6||||||||NV||1||||||||||||||||||
GOL0013|TSX|Goldcorp Inc.|G| 15,687,198,612 | 869,096,876 |||| Mining |||19830620|BC|Canada|TSX-NYSE||||60|||||C||||| 281,644,540 | 4,925,890,478 | 648,247 |6|||ON,Quebec||Argentina,Chile,Dominican Republic,Guatemala,Mexico|||NV,SD||1|1|1|||||||||||||||1|
GOL0062|TSX|Golden Minerals Company|AUMN| 45,640,088 | 95,083,517 |||| Mining ||Other|20090716|USA|USA|TSX-NYSE MKT||||||Golden|CO||U||||| 827,864 | 434,723 | 1,104 |6|||||Argentina,Mexico|||||1|1|||||||||||||||||
GOL0026|TSX|Golden Queen Mining Co. Ltd.|GQM| 64,521,810 | 300,101,441 |||| Mining |||19900330|BC|Canada|TSX-OTCQX|||||||||C||||| 42,417,161 | 4,665,014 | 6,090 |6||||||||CA||1|1|||||||||||||||||
GOL0030|TSX|Golden Star Resources Ltd.|GSC| 342,742,100 | 380,824,555 |||| Mining |||19870727|USA|USA|TSX-NYSE MKT||||||Littleton|CO||C||||| 28,046,448 | 25,072,993 | 21,289 |6|Ghana|||||||||1||||||||||||||||||
SIE0004|TSX|Goldgroup Mining Inc.|GGA| 12,033,885 | 185,136,689 |||| Mining ||TSXV Grad|20060926|ON|Canada|||1|||||||C||||| 10,285,021 | 689,037 | 1,003 |6|||||Mexico|||||1||||||||||||||||||
GOL0070|TSX|Goldmining Inc.|GOLD| 120,285,148 | 135,151,852 |||| Mining ||TSXV Grad|20180619|BC|Canada|TSX-OTCQX||1|||||||C||||| 938,601 | 821,572 | 570 |1|||YT||Brazil, Colombia, Peru|||AK||1||1|||||||||||1|||||
GRA0022|TSX|Gran Colombia Gold Corp.|GCM| 127,667,039 | 30,860,640 |||| Mining ||TSXV Grad|20101222|Colombia|Latin America|||1|||||||C||||| 12,248,227 | 48,750,245 | 19,400 |6|||||Colombia|||||1|1|||||||||||||||||
GRE0038|TSX|Great Panther Silver Limited|GPR| 258,039,736 | 168,653,422 |||| Mining ||TSXV Grad|20061114|BC|Canada|TSX-NYSE MKT||1|||||||C||||| 8,322,996 | 13,138,079 | 18,465 |6|||||Mexico||||||1|||||||||||||||||
GUY0003|TSX|Guyana Goldfields Inc.|GUY| 850,956,033 | 173,310,801 |||| Mining ||TSXV Grad|20040308|ON|Canada|||1||1|||||C||||| 59,040,158 | 292,011,920 | 216,141 |6|||||Guyana|||||1||||||||||||||||||
HAR0026|TSX|Harte Gold Corp.|HRT| 227,303,224 | 575,451,200 |||| Mining ||TSXV Grad|20110606|ON|Canada|||1|||||||C||||| 45,621,253 | 18,942,860 | 8,956 |6|||Canada|||||||1||||||||||||||||||
HOR0079|TSX|Horizonte Minerals Plc|HZM| 107,439,135 | 1,432,521,800 |||| Mining ||Other|20110617|UK|UK/Europe|TSX-AIM|||||||||F||||| 10,813,435 | 798,832 | 493 |6|||||Brazil|||||1|||1|||||||||||||||
HUD0003|TSX|HudBay Minerals Inc.|HBM| 1,915,117,808 | 261,271,188 |||| Mining ||TSXV Grad|20041224|ON|Canada|TSX-NYSE|TSX-Lima (BVL)|1||1|||||C||||| 235,435,174 | 2,213,271,530 | 690,503 |6|||MB||Peru|||||1|1|1|||||||1|||||||||
IAM0001|TSX|IAMGold Corporation|IMG| 3,573,810,534 | 466,554,900 |||| Mining |||19960308|ON|Canada|TSX-NYSE||||1|||||C||||| 152,192,438 | 1,108,458,629 | 300,903 |6|Burkina Faso,Mali||ON,Quebec||Suriname|||||1||||||||||||||||||
IMP0004|TSX|Imperial Metals Corporation|III| 214,168,791 | 117,675,160 |||| Mining |||19841227|BC|Canada||||||||||C||||| 7,761,155 | 18,520,748 | 14,498 |6|||BC|||||||1|1|1|||1|||1|1|||||||||
