"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"IOTS","Adesto Technologies Corporation","5.7","166830347.4","n/a","2015","Technology","Semiconductors","https://www.nasdaq.com/symbol/iots",
"ADIL","Adial Pharmaceuticals, Inc","2.75","17980116","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adil",
"ADILW","Adial Pharmaceuticals, Inc","0.3","0","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adilw",
"ADMA","ADMA Biologics Inc","6.2","287366986.8","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adma",
"ADBE","Adobe Systems Incorporated","268.47","131459733256.32","n/a","1986","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/adbe",
"ADOM","ADOMANI, Inc.","0.5685","41218169.256","n/a","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adom",
"ADTN","ADTRAN, Inc.","18.125","865272456.25","n/a","1994","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","6.05","478311572.2","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adro",
"ADES","Advanced Emissions Solutions, Inc.","11.73","235917783.39","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","50.54","1976799625.64","n/a","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","32.19","31381142845.71","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","0.9","62545634.1","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adxs",
"ADXSW","Advaxis, Inc.","0.0399","0","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adxsw",
"ADVM","Adverum Biotechnologies, Inc.","5.925","371462388.45","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/advm",
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","24.96","3120000","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwmc",
"DWSH","AdvisorShares Dorsey Wright Short ETF","24.9434","4988680","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwsh",
"ACT","AdvisorShares Vice ETF","27","14850000","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/act",
"AEGN","Aegion Corp","24.36","787098469.08","n/a","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","9.28","204113896.96","n/a","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agle",
"AEHR","Aehr Test Systems","2.42","53772445.98","n/a","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","1.0408","21047983.912","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amtx",
"AERI","Aerie Pharmaceuticals, Inc.","60.8","2749512982.4","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","108.75","2602455251.25","n/a","2007","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/avav",
"ARPO","Aerpio Pharmaceuticals, Inc.","3.01","122145369.57","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/arpo",
"AEZS","AEterna Zentaris Inc.","1.73","28442514.8","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","1.2","21357897.6","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/aemd",
"GNMX","Aevi Genomic Medicine, Inc.","1.29","76549542.99","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/gnmx",
"AFMD","Affimed N.V.","4.3","268277292.4","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/afmd",
"AGEN","Agenus Inc.","2.13","241290907.08","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/agen",
"AGRX","Agile Therapeutics, Inc.","0.3941","13548105.3589","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agrx",
"AGYS","Agilysys, Inc.","15.94","374996183.08","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","75.82","4396997112.32","n/a","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","29.3171","624924916.0405","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/agmh",
"AGNC","AGNC Investment Corp.","18.71","8940236663.87","n/a","2008","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agnc",
"AGNCB","AGNC Investment Corp.","25.844","8953655945.052","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncb",
"AGNCN","AGNC Investment Corp.","26.5","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncn",
"AGFS","AgroFresh Solutions, Inc.","6.5","328165253","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.2395","0","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw",
"ALRN","Aileron Therapeutics, Inc.","2.93","43180587.86","n/a","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alrn",
"AIMT","Aimmune Therapeutics, Inc.","27.7","1619825088","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aimt",
"AIRT","Air T, Inc.","33.6","68665195.2","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","20.89","1234189284.43","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/atsg",
"AIRG","Airgain, Inc.","13.01","128696585.28","n/a","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/airg",
"AMCN","AirMedia Group Inc","0.428","19336076.572","45177749","2007","Technology","Advertising","https://www.nasdaq.com/symbol/amcn",
"AKAM","Akamai Technologies, Inc.","72.51","12290780576.28","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",
"AKTX","Akari Therapeutics Plc","2.0999","31936070.8623","15208377","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aktx",
"AKCA","Akcea Therapeutics, Inc.","33.98","2912710280.56","n/a","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akca",
"AKBA","Akebia Therapeutics, Inc.","8.26","471192402.1","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akba",
"AKER","Akers Biosciences Inc","0.287","27008505.804","n/a","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","13.06","1638392332.44","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akrx",
"AKTS","Akoustis Technologies, Inc.","7.97","177113508.31","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/akts",
"ALRM","Alarm.com Holdings, Inc.","56.73","2705772806.25","n/a","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/alrm",
"ALSK","Alaska Communications Systems Group, Inc.","1.6169","85993335.7182","n/a","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/alsk",
"ALBO","Albireo Pharma, Inc.","32.37","387466569.36","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/albo",
"ABDC","Alcentra Capital Corp.","6.17","83478724.09","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abdc",
"ALDR","Alder BioPharmaceuticals, Inc.","16.6","1132724090.6","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldr",
"ALDX","Aldeyra Therapeutics, Inc.","13.35","280015182","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldx",
"ALXN","Alexion Pharmaceuticals, Inc.","135.61","30221929060.28","n/a","1996","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alxn",
"ALCO","Alico, Inc.","33.7","276338550.9","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","389.01","31245315098.82","n/a","2001","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","1.05","73540331.55","n/a","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alim",
"ALJJ","ALJ Regional Holdings, Inc.","1.76","66741164.16","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ALKS","Alkermes plc","42.32","6572938332.96","n/a","1991","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alks",
"ALLK","Allakos Inc.","46.275","1948781805.225","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/allk",
"ABTX","Allegiance Bancshares, Inc.","40.9","546734431","n/a","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/abtx",
"ALGT","Allegiant Travel Company","128.2","2072164930.6","n/a","2006","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/algt",
"ALGR","Allegro Merger Corp.","9.57","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algr",
"ALGRR","Allegro Merger Corp.","0.42","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algrr",
"ALGRU","Allegro Merger Corp.","10.33","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algru",
"ALGRW","Allegro Merger Corp.","0.4","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algrw",
"ALNA","Allena Pharmaceuticals, Inc.","10.59","219765448.53","n/a","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/alna",
"AMMA","Alliance MMA, Inc.","0.2846","4230002.4004","n/a","2016","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/amma",
"ARLP","Alliance Resource Partners, L.P.","20.1","2640528839.4","n/a","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp",
"AHPI","Allied Healthcare Products, Inc.","2.2","8829781.4","n/a","1992","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","52.54","497820598.12","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/amot",
"ALQA","Alliqua BioMedical, Inc.","2.28","11411878.8","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/alqa",
"ALLT","Allot Communications Ltd.","6.27","211388849.1","n/a","2006","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","14.14","2468983137.6","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/mdrx",
"ALNY","Alnylam Pharmaceuticals, Inc.","91.32","9192829347.84","n/a","2004","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","11.64","277763539.08","n/a","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/aosl",
"GOOG","Alphabet Inc.","1180.49","821240654248.77","n/a","2004","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/goog",
"GOOGL","Alphabet Inc.","1194.06","830681001628.38","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/googl",
"SMCP","AlphaMark Actively Managed Small Cap ETF","26.6501","26650100","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/smcp",
"ATEC","Alphatec Holdings, Inc.","3.28","139059096.48","n/a","2006","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/atec",
"ALPN","Alpine Immune Sciences, Inc.","6.35","87952338.7","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alpn",
"SWIN","ALPS/Dorsey Wright Sector Momentum ETF","32.907","11517515.814","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/swin",
"AMR","Alta Mesa Resources, Inc.","4.24","1628077663.44","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amr",
"AMRWW","Alta Mesa Resources, Inc.","0.49","0","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amrww",
"AABA","Altaba Inc.","68.115","41244190770.54","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/aaba",
"ALTR","Altair Engineering Inc.","41.94","2932028587.44","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/altr",
"ALT","Altimmune, Inc.","11.9652","511679.8128","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alt",
"ASPS","Altisource Portfolio Solutions S.A.","33.28","567121684.48","n/a","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","41.8","1227369596.2","n/a","2006","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aimc",
"AIMCV","Altra Industrial Motion Corp.","41.7","1224433305.3","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aimcv",
"ALZH","Alzheon, Inc.","n/a","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/alzh",
"AMAG","AMAG Pharmaceuticals, Inc.","21.35","735994642.95","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amag",
"AMAL","Amalgamated Bank","19.17","609061265.28","n/a","2018","Consumer Non-Durables","Textiles","https://www.nasdaq.com/symbol/amal",
"AMRN","Amarin Corporation plc","13.45","3921515060.1","291562458","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","12.65","88947842.5","n/a","n/a","Basic Industries","Other Specialty Stores","https://www.nasdaq.com/symbol/amrk",
"AMZN","Amazon.com, Inc.","1974.85","963215687096.65","n/a","1997","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","20.42","925683809.88","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","9.89","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambcw",
"AMBA","Ambarella, Inc.","38.01","1218471404.01","n/a","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/amba",
"AMCX","AMC Networks Inc.","65.7","3740194106.1","n/a","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/amcx",
"DOX","Amdocs Limited","65.8","9307015200","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dox",
"AMDA","Amedica Corporation","0.2501","2968656.7379","n/a","2014","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/amda",
"AMED","Amedisys Inc","122.05","3885584044.1","n/a","n/a","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/amed",
"UHAL","Amerco","346.17","6787627971.96","n/a","n/a","Consumer Services","Rental/Leasing Companies","https://www.nasdaq.com/symbol/uhal",
"AMRH","Ameri Holdings, Inc.","1.4001","32025113.1447","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amrh",
"AMRHW","Ameri Holdings, Inc.","0.25","0","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amrhw",
"ATAX","America First Multifamily Investors, L.P.","5.85","353649628.8","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","16.3699","54064117351.59","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","41.03","18894693132.48","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/aal",
"AETI","American Electric Technologies, Inc.","0.7101","6331350.3039","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeti",
"AFIN","American Finance Trust, Inc.","15.21","1614137552.82","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/afin",
"AMNB","American National Bankshares, Inc.","39.15","341052367.05","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","127.98","3440799763.02","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/anat",
"AOBC","American Outdoor Brands Corporation","15.44","839766870.24","n/a","n/a","Capital Goods","Ordnance And Accessories","https://www.nasdaq.com/symbol/aobc",
"APEI","American Public Education, Inc.","32.225","529258952.95","n/a","2007","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/apei",
"ARII","American Railcar Industries, Inc.","46.89","894843039.42","n/a","2006","Capital Goods","Railroads","https://www.nasdaq.com/symbol/arii",
"AMRB","American River Bankshares","15.4","90317950.8","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amrb",
"AMSWA","American Software, Inc.","11.82","365312832.42","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/amswa",
"AMSC","American Superconductor Corporation","6.95","147535093.45","n/a","1991","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/amsc",
"AMWD","American Woodmark Corporation","79.9","1405781214.2","n/a","1986","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/amwd",
"CRMT","America&#39;s Car-Mart, Inc.","78.55","540683686.3","n/a","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/crmt",
"ABCB","Ameris Bancorp","46.25","2197738117.5","n/a","1994","Finance","Major Banks","https://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","61.45","1184140271","n/a","2005","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","4.35","78409150.2","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","28.012","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","27.5","256050107.5","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/atlo",
"AMGN","Amgen Inc.","206.83","133875281617.61","n/a","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/amgn",
"FOLD","Amicus Therapeutics, Inc.","12.6","2383099273.8","n/a","2007","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fold",
"AMKR","Amkor Technology, Inc.","7.52","1801328647.68","n/a","1998","Technology","Semiconductors","https://www.nasdaq.com/symbol/amkr",
"AMPH","Amphastar Pharmaceuticals, Inc.","19.21","888586481.34","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amph",
"IBUY","Amplify Online Retail ETF","52.09","557363000","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ibuy",
"ASYS","Amtech Systems, Inc.","5.57","83481739.65","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/asys",
"AFSI","AmTrust Financial Services, Inc.","14.65","2894506653.9","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afsi",
"AMRS","Amyris, Inc.","7.81","393497938.79","n/a","2010","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amrs",
